דגם,IMEI1,IMEI2
iPhone 14,407249543269718,
Xiaomi 14,501924834224243,
iPhone 14,340054757802133,
Pixel 8 Pro,660527872882561,011797672867866
Pixel 8a,253487462580567,
Xiaomi 14,472309374547374,
Pixel 8a,559215610550203,202534291928947
Pixel 8 Pro,122828313858760,
Galaxy A55,908860393895958,
iPhone 14,299178506831332,636727041309295
Redmi Note 13,661438273659807,
iPhone 14,106715049580547,
Pixel 8a,327458208055000,
Pixel 8a,126722220549834,
Xiaomi 14,594035756867410,440788600459281
Redmi Note 13,690490632643290,
iPhone 15,820788777765981,757638021010048
Pixel 8 Pro,083421010123816,
Xiaomi 14,350660953081897,101483554443727
iPhone 15,138801076028774,
Galaxy S24 Ultra,952112637841934,
Pixel 8 Pro,247958103516870,
Pixel 8 Pro,933626669329694,
iPhone 15 Pro,951442952014176,
Galaxy S24,493327276370039,
Pixel 8 Pro,615037549412418,466885897663408
Galaxy A55,957766184130291,
iPhone 15 Pro,749041151944386,
Redmi Note 13,812580733030372,
iPhone 14,185851100484842,
Redmi Note 13,035930593838284,
iPhone 15 Pro,339949287720874,
Galaxy A55,423203431862423,
Pixel 8a,594618335539368,
iPhone 15,225650484238374,
iPhone 15,115403955335466,060600346565082
Redmi Note 13,532673751276495,
Redmi Note 13,441139061474105,
Galaxy S24,767302218753781,
iPhone 15,886595551005190,
iPhone 14,134763904705946,
Galaxy S24 Ultra,709719784983271,
Galaxy A55,383661798113466,611783638468688
iPhone 15,568713875874424,
Galaxy A55,352333609765747,865876831056483
iPhone 14,023543645581788,
Pixel 8 Pro,085407812144926,445443398425590
Galaxy S24 Ultra,856970293522040,
Redmi Note 13,307221147717286,
iPhone 14,927491226303783,
Pixel 8a,042627282227305,343592874504949
Galaxy S24 Ultra,013979591730023,
Redmi Note 13,795467187479027,
Xiaomi 14,602343836595062,
Galaxy S24,412743838264288,074878173428913
Galaxy S24,083121664372947,
Redmi Note 13,902008399023441,
Pixel 8 Pro,517468285299132,
Galaxy S24,310510984114127,139715863782899
Redmi Note 13,755640612696666,008608300755677
Redmi Note 13,344525821584035,
Galaxy A55,082527600954690,
Galaxy A55,751909664824847,
iPhone 15 Pro,003297181180158,
iPhone 15 Pro,845039340833208,
Galaxy S24,914840525909036,
Pixel 8 Pro,814229268972461,
Galaxy A55,225852366537861,
Galaxy S24,273838933674411,
iPhone 15,878931312727519,
Pixel 8a,064494830454409,
Galaxy A55,852141284046837,
Xiaomi 14,324999278520640,
Xiaomi 14,632505476524495,556490564145796
Redmi Note 13,438550166313888,
iPhone 15 Pro,097544306026783,
Redmi Note 13,644588602695450,308364272662528
Galaxy S24 Ultra,068035171886679,
iPhone 15,716179531266929,
iPhone 14,310967313886371,
Xiaomi 14,872260186570318,106778891235909
Galaxy A55,449211888984665,
Pixel 8a,175201625792521,
Galaxy S24 Ultra,059282107205274,
iPhone 15 Pro,467429212179862,125708328990476
Xiaomi 14,783315068212369,
Redmi Note 13,031125130505561,
iPhone 15,681134539153745,285877426478829
Pixel 8a,918124826043381,
Galaxy S24,060931893915978,
Pixel 8a,546207969070079,
Galaxy S24,474741283920268,
Galaxy S24 Ultra,341967974692574,
Pixel 8a,276441166027691,
Galaxy S24 Ultra,076593556221151,142462294671756
Redmi Note 13,394375622636777,
Pixel 8 Pro,144692196071956,
Pixel 8a,392640869944057,
iPhone 14,226734957823232,522589162209051
Pixel 8 Pro,243436730539353,
iPhone 15 Pro,584089651890615,842447791477214
iPhone 15,040698057404090,
Pixel 8a,184980016396112,
Pixel 8a,380302028117687,
Xiaomi 14,084729669019385,
iPhone 15 Pro,360362039693765,731130991867947
Galaxy S24,421580394084307,089164354158345
Pixel 8a,960964819622189,881421960471177
iPhone 15 Pro,295065080683854,
Galaxy S24 Ultra,138622724270992,
Pixel 8 Pro,078500623585789,
Redmi Note 13,856037753236717,
Galaxy S24,291908094812221,
iPhone 14,165563185617378,
Pixel 8 Pro,501134872543757,
Xiaomi 14,283768820496008,086631746961050
iPhone 14,171873358453879,604588904686031
Pixel 8 Pro,040658081576370,
Galaxy A55,677655064286928,179704483120442
Pixel 8 Pro,626699749810563,
iPhone 14,944248470325972,625392291986400
iPhone 15 Pro,572352696589863,
Galaxy S24,696911129542624,
iPhone 15 Pro,411497219193530,
Pixel 8 Pro,311475290972262,138817533307882
Redmi Note 13,267970866654579,
Galaxy A55,507224080465796,
Pixel 8a,857814283633608,
Redmi Note 13,053037783089665,
Galaxy S24 Ultra,758232066615652,779267747794018
Xiaomi 14,904363333342938,715237651270096
iPhone 15 Pro,523402922699075,000506519816603
iPhone 15,136150552841322,
Pixel 8 Pro,578323665509673,
iPhone 15,914220240013663,
Pixel 8a,981864266940842,937194231935270
iPhone 15 Pro,384451618318753,310613583040113
Xiaomi 14,318765910228829,
Pixel 8a,777778217812041,420670621650094
Galaxy A55,222652402867303,
Galaxy S24,740364960619752,
Galaxy S24,827856910617253,
iPhone 15,290987536922104,
Galaxy S24 Ultra,102408552281075,771330621392412
iPhone 15,327130749992807,
Pixel 8a,149582274089886,
Galaxy S24 Ultra,310600419493889,488228296859547
Xiaomi 14,488534987934170,
Galaxy A55,202334951309003,504585146482071
iPhone 14,359992391431009,
Xiaomi 14,502925496367617,
Galaxy A55,106442535686692,057694327557064
Galaxy A55,175060319070739,784676349503275
Redmi Note 13,181221368488378,
iPhone 15 Pro,242892810527570,
Galaxy A55,771281756085596,
Galaxy A55,264507224538012,
Xiaomi 14,886914629478604,
Redmi Note 13,948957647716790,
Pixel 8a,048981010787229,
iPhone 14,940773435318865,124899902053368
Xiaomi 14,423895065917868,
Xiaomi 14,010479755706516,
iPhone 14,044140713948257,
Xiaomi 14,306429184430470,055634921291209
iPhone 15,826970703510475,
Galaxy S24,574390113272810,863465081324965
Pixel 8a,407475363195044,
iPhone 15 Pro,800070701171253,606442572241844
Pixel 8 Pro,902962368295457,
Galaxy S24,261917679707637,
Galaxy A55,658075834160027,
Galaxy S24 Ultra,343320755698618,439421443176333
Galaxy S24 Ultra,936163452306397,
iPhone 14,549502899339553,
Pixel 8a,285830194062275,533513727814871
Pixel 8a,077049572410822,044455266322167
Galaxy S24 Ultra,501367118503785,
iPhone 15 Pro,241170925000531,
iPhone 15,248412020751367,593527501056696
Galaxy S24,790325767671873,
Galaxy S24,829437014439940,
Galaxy A55,415403013658401,
Redmi Note 13,575414362459453,
iPhone 15 Pro,394496116330469,
Pixel 8a,366492864353500,637835955694252
Xiaomi 14,400563285934736,
iPhone 15 Pro,138143077236779,
Xiaomi 14,758318461907446,
Galaxy A55,314755607575776,
Galaxy S24 Ultra,330563126810157,
Galaxy S24 Ultra,923961202615362,192475169548882
Xiaomi 14,200106266667024,144922062645769
iPhone 15,410362669114306,
iPhone 14,805630067659723,362385784745173
iPhone 14,288541560764876,
iPhone 15 Pro,767165625639517,
Pixel 8a,547083842494029,
Galaxy S24,620181729932077,
Galaxy S24,368528601054345,
